Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),,Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle),,,,,
Fam122a,1.05,0.37,,-1.06,0.27,,,,,
Fam127b,-1.01,0.72,,-1.09,0.03,,,,,
Fam131b,1.17,0.02,,1.27,0.00,,,,,
Fam134a,1.08,0.10,,1.02,0.60,,,,,
Fam134c,1.15,0.06,,1.20,0.02,,,,,
Fam136a,1.09,0.17,,1.15,0.04,,,,,
Fam13b,1.28,0.01,,1.55,0.00,,,,,
Fam160a2,1.34,0.00,,1.31,0.00,,,,,
Fam160b2,1.30,0.01,,1.28,0.02,,,,,
Fam163b,1.26,0.02,,1.25,0.02,,,,,
Fam168b,1.56,0.00,,1.69,0.00,,,,,
Fam173a,-1.20,0.00,,-1.30,0.00,,,,,
Fam174a,-1.22,0.01,,-1.21,0.02,,,,,
Fam181b,1.07,0.56,,-1.08,0.44,,,,,
Fam189b,1.12,0.11,,1.05,0.45,,,,,
Fam192a,-1.00,0.94,,-1.11,0.07,,,,,
Fam193b,1.71,0.00,,1.57,0.00,,,,,
Fam20b,1.24,0.01,,1.40,0.00,,,,,
Fam210a,1.24,0.05,,1.75,0.00,,,,,
Fam210b,1.35,0.02,,1.66,0.00,,,,,
Fam212b,1.19,0.04,,1.32,0.00,,,,,
Fam213a,-1.01,0.82,,-1.11,0.06,,,,,
Fam213b,-1.08,0.18,,-1.22,0.00,,,,,
Fam214b,1.26,0.02,,1.24,0.03,,,,,
Fam216a,-1.00,0.97,,-1.01,0.86,,,,,
Fam217b,1.68,0.00,,1.86,0.00,,,,,
Fam219a,1.47,0.00,,1.39,0.00,,,,,
Fam219b,1.70,0.00,,1.38,0.05,,,,,
Fam220a,1.04,0.51,,1.08,0.18,,,,,
Fam234b,1.19,0.02,,1.30,0.00,,,,,
Fam32a,1.02,0.54,,1.02,0.55,,,,,
Fam3a,1.14,0.05,,1.01,0.85,,,,,
Fam43a,1.39,0.00,,1.20,0.05,,,,,
Fam45a,1.07,0.47,,1.34,0.01,,,,,
Fam50a,-1.05,0.41,,-1.12,0.08,,,,,
Fam57b,1.09,0.11,,1.00,0.92,,,,,
Fam58b,-1.06,0.34,,-1.05,0.44,,,,,
Fam63a,1.15,0.03,,1.02,0.66,,,,,
Fam65a,1.15,0.04,,1.31,0.00,,,,,
Fam69b,-1.07,0.17,,-1.09,0.07,,,,,
Fam76a,1.09,0.23,,1.18,0.04,,,,,
Fam81a,1.23,0.06,,1.58,0.00,,,,,
Fam84a,1.22,0.02,,1.37,0.00,,,,,
Fam89b,-1.08,0.08,,-1.11,0.01,,,,,
Fam8a1,1.14,0.12,,1.50,0.00,,,,,
Fam91a1,1.48,0.00,,1.88,0.00,,,,,
Fam96b,-1.17,0.03,,-1.27,0.00,,,,,
Fam98a,1.17,0.12,,1.35,0.01,,,,,
Fam98c,1.05,0.42,,1.07,0.33,,,,,
Fance,1.08,0.45,,-1.05,0.55,,,,,
Farsa,-1.05,0.31,,-1.05,0.34,,,,,
Fasn,1.21,0.02,,1.45,0.00,,,,,
Fastkd3,1.34,0.02,,1.58,0.00,,,,,
Fau,-1.24,0.02,,-1.44,0.00,,,,,
Fbl,-1.14,0.05,,-1.08,0.27,,,,,
Fbll1,-1.10,0.07,,-1.23,0.00,,,,,
Fbxl14,1.05,0.41,,1.25,0.00,,,,,
Fbxl15,-1.09,0.32,,-1.27,0.01,,,,,
Fbxl16,1.54,0.00,,1.55,0.00,,,,,
Fbxl19,1.20,0.04,,1.25,0.01,,,,,
Fbxl3,1.10,0.23,,1.26,0.01,,,,,
Fbxl5,1.18,0.03,,1.23,0.01,,,,,
Fbxl6,1.12,0.04,,-1.08,0.17,,,,,
Fbxo11,1.36,0.03,,1.97,0.00,,,,,
Fbxo18,1.31,0.01,,1.35,0.01,,,,,
Fbxo2,-1.11,0.04,,-1.30,0.00,,,,,
Fbxo21,1.04,0.37,,1.06,0.23,,,,,
Fbxo22,-1.03,0.71,,1.02,0.77,,,,,
Fbxo25,1.09,0.14,,1.18,0.01,,,,,
Fbxo27,1.05,0.44,,-1.05,0.49,,,,,
Fbxo3,1.29,0.01,,1.49,0.00,,,,,
Fbxo41,1.71,0.00,,1.80,0.00,,,,,
Fbxo44,1.10,0.08,,-1.03,0.64,,,,,
Fbxo6,1.05,0.40,,-1.15,0.02,,,,,
Fbxo7,-1.11,0.05,,-1.08,0.12,,,,,
Fbxo9,1.04,0.38,,1.05,0.28,,,,,
Fbxw11,1.22,0.01,,1.31,0.00,,,,,
Fbxw2,1.01,0.93,,1.18,0.12,,,,,
Fbxw5,1.11,0.07,,1.01,0.86,,,,,
Fbxw9,1.14,0.11,,1.02,0.76,,,,,
Fcer1g,-1.01,0.75,,-1.11,0.37,,,,,
Fcf1,1.05,0.42,,1.06,0.29,,,,,
Fcgrt,1.03,0.94,,-1.22,0.25,,,,,
Fcho1,1.38,0.00,,1.22,0.03,,,,,
Fcrl2,1.77,0.00,,-1.01,0.99,,,,,
Fdft1,1.10,0.12,,1.03,0.57,,,,,
Fdps,-1.09,0.03,,-1.07,0.06,,,,,
Fdx1l,-1.16,0.07,,-1.34,0.00,,,,,
Fem1a,1.36,0.01,,1.42,0.01,,,,,
Fem1b,1.77,0.00,,2.27,0.00,,,,,
Fen1,1.07,0.28,,-1.00,0.99,,,,,
Fermt2,1.24,0.01,,1.27,0.01,,,,,
Fez1,1.07,0.16,,-1.01,0.84,,,,,
Fezf2,-1.05,0.67,,1.17,0.09,,,,,
Fgf11,1.13,0.32,,1.43,0.02,,,,,
Fgf13,1.24,0.08,,1.74,0.00,,,,,
Fgfbp3,1.03,0.78,,1.07,0.51,,,,,
Fgfr1,1.49,0.00,,1.26,0.02,,,,,
Fgfr1op2,1.07,0.30,,1.14,0.07,,,,,
Fgfr3,1.40,0.02,,1.37,0.02,,,,,
Fgfrl1,1.04,0.60,,-1.00,1.00,,,,,
Fh,-1.02,0.64,,-1.01,0.85,,,,,
Fhl1,1.11,0.20,,1.30,0.01,,,,,
Fibin,1.39,0.01,,1.15,0.22,,,,,
Fibp,-1.00,0.93,,-1.12,0.01,,,,,
Ficd,1.36,0.01,,1.33,0.01,,,,,
Fis1,-1.14,0.03,,-1.33,0.00,,,,,
Fitm2,1.13,0.10,,1.21,0.02,,,,,
Fiz1,1.06,0.34,,1.10,0.10,,,,,
Fjx1,1.13,0.10,,-1.01,0.95,,,,,
Fkbp1a,1.06,0.27,,1.04,0.44,,,,,
Fkbp2,-1.06,0.18,,-1.17,0.00,,,,,
Fkbp3,-1.02,0.93,,1.13,0.25,,,,,
Fkbp4,-1.02,0.68,,1.06,0.27,,,,,
Fkbp8,-1.09,0.06,,-1.22,0.00,,,,,
Fkbpl,-1.02,0.82,,-1.07,0.34,,,,,
Fkrp,1.19,0.00,,1.10,0.05,,,,,
Flad1,1.11,0.06,,1.03,0.57,,,,,
Flcn,1.08,0.16,,1.10,0.11,,,,,
Flii,1.21,0.03,,1.24,0.02,,,,,
Flna,1.59,0.01,,1.48,0.02,,,,,
Flot1,-1.08,0.19,,-1.16,0.01,,,,,
Flot2,1.07,0.19,,1.12,0.04,,,,,
Flrt1,1.34,0.02,,2.03,0.00,,,,,
Flrt3,1.42,0.00,,1.62,0.00,,,,,
Fmc1,-1.48,0.00,,-1.43,0.00,,,,,
Fmnl1,1.18,0.03,,1.14,0.08,,,,,
Fmod,1.51,0.47,,-1.18,1.00,,,,,
Fn3k,-1.13,0.07,,-1.01,0.81,,,,,
Fn3krp,1.42,0.00,,1.49,0.00,,,,,
Fndc5,1.37,0.00,,1.26,0.01,,,,,
Fnta,1.01,0.88,,1.02,0.76,,,,,
Fos,-1.08,0.39,,1.35,0.00,,,,,
Fosb,1.02,0.89,,1.26,0.02,,,,,
Foxg1,1.02,0.72,,1.24,0.00,,,,,
Foxj1,-1.10,0.62,,-1.76,0.46,,,,,
Foxj2,1.41,0.00,,1.57,0.00,,,,,
Foxk2,1.16,0.03,,1.35,0.00,,,,,
Foxo4,1.28,0.01,,1.16,0.06,,,,,
Foxq1,-1.00,0.97,,1.12,0.19,,,,,
Frs3,-1.09,0.08,,-1.03,0.51,,,,,
Fscn1,-1.03,0.40,,-1.14,0.01,,,,,
Fsd1,1.19,0.08,,1.18,0.07,,,,,
Fth1,1.02,0.66,,-1.18,0.00,,,,,
Ftl1,-1.04,0.46,,-1.27,0.00,,,,,
Ftsj3,1.20,0.01,,1.11,0.07,,,,,
Fubp1,1.28,0.02,,1.40,0.00,,,,,
Fuca1,-1.06,0.71,,-1.23,0.07,,,,,
Fuca2,1.01,0.89,,-1.01,0.91,,,,,
Fundc2,1.02,0.79,,-1.03,0.63,,,,,
Fuom,-1.18,0.08,,-1.43,0.00,,,,,
Furin,1.18,0.05,,1.08,0.29,,,,,
Fus,1.18,0.03,,1.32,0.00,,,,,
Fut11,1.41,0.01,,1.52,0.00,,,,,
Fuz,-1.05,0.63,,-1.34,0.00,,,,,
Fv1,-1.02,0.60,,1.04,0.44,,,,,
Fxr2,1.10,0.04,,1.10,0.04,,,,,
Fxyd1,-1.16,0.21,,-1.62,0.00,,,,,
Fxyd6,-1.39,0.05,,-1.09,0.56,,,,,
Fxyd7,-1.16,0.11,,-1.39,0.00,,,,,
Fyttd1,1.22,0.08,,1.62,0.00,,,,,
Fzd1,1.03,0.67,,1.36,0.00,,,,,
Fzd10,1.35,0.01,,1.10,0.29,,,,,
Fzd2,1.04,0.70,,-1.11,0.57,,,,,
Fzd4,1.49,0.00,,1.71,0.00,,,,,
Fzd9,1.20,0.03,,1.10,0.22,,,,,
Fzr1,1.12,0.12,,1.07,0.29,,,,,
G0s2,-1.37,0.01,,-1.17,0.18,,,,,
G3bp1,1.28,0.01,,1.49,0.00,,,,,
G3bp2,1.54,0.00,,1.72,0.00,,,,,
G4,-1.07,0.25,,-1.05,0.41,,,,,
G6pc3,-1.04,0.44,,-1.05,0.39,,,,,
G6pd,1.18,0.00,,1.14,0.02,,,,,
Gaa,-1.04,0.78,,-1.04,0.76,,,,,
Gabarap,-1.05,0.25,,-1.05,0.25,,,,,
Gabarapl1,-1.04,0.36,,-1.01,0.77,,,,,
Gabarapl2,-1.12,0.18,,-1.08,0.33,,,,,
Gabbr1,1.20,0.01,,1.29,0.00,,,,,
Gabpb1l,1.40,0.00,,1.49,0.00,,,,,
Gabra1,1.17,0.21,,2.01,0.00,,,,,
Gabra5,1.16,0.11,,1.18,0.07,,,,,
Gabrd,-1.10,0.41,,-1.09,0.49,,,,,
Gad1,1.07,0.34,,1.27,0.00,,,,,
Gadd45a,1.15,0.35,,-1.16,0.34,,,,,
Gadd45b,-1.09,0.18,,1.02,0.63,,,,,
Gadd45g,1.16,0.11,,-1.20,0.06,,,,,
Gadd45gip1,-1.15,0.01,,-1.32,0.00,,,,,
Gak,1.17,0.05,,1.30,0.00,,,,,
Gal3st3,1.10,0.17,,1.06,0.40,,,,,
Gale,-1.06,0.25,,-1.12,0.04,,,,,
Galk1,-1.22,0.01,,-1.30,0.00,,,,,
Galnt11,1.20,0.01,,1.26,0.00,,,,,
Galnt16,1.07,0.25,,1.21,0.01,,,,,
Galnt2,1.20,0.03,,1.17,0.05,,,,,
Galnt9,1.07,0.32,,1.10,0.18,,,,,
Galt,1.09,0.66,,-1.14,0.30,,,,,
Gamt,-1.12,0.02,,-1.27,0.00,,,,,
Ganab,1.14,0.05,,1.21,0.01,,,,,
Gap43,-1.20,0.01,,-1.06,0.32,,,,,
Gapdh,-1.08,0.09,,-1.23,0.00,,,,,
Garem2,1.39,0.03,,1.33,0.05,,,,,
Gars,1.18,0.01,,1.16,0.02,,,,,
Gart,1.19,0.01,,1.18,0.02,,,,,
Gas2l1,1.39,0.01,,1.28,0.03,,,,,
Gas6,1.08,0.34,,-1.09,0.46,,,,,
Gas7,1.35,0.00,,1.61,0.00,,,,,
Gatc,1.04,0.47,,1.07,0.18,,,,,
Gatm,1.13,0.17,,1.29,0.01,,,,,
Gatsl2,1.07,0.29,,1.26,0.00,,,,,
Gba,1.53,0.00,,1.48,0.00,,,,,
Gba2,1.14,0.07,,1.21,0.01,,,,,
Gcc2,1.36,0.01,,1.78,0.00,,,,,
Gcdh,1.18,0.02,,1.21,0.01,,,,,
Gcn1l1,1.29,0.01,,1.40,0.00,,,,,
Gcsh,1.01,0.89,,1.00,0.99,,,,,
Gdap1,1.38,0.01,,1.88,0.00,,,,,
Gdap1l1,1.06,0.29,,-1.01,0.80,,,,,
Gde1,1.21,0.01,,1.02,0.73,,,,,
Gdf1,1.14,0.10,,1.05,0.50,,,,,
Gdf10,1.10,0.19,,1.13,0.13,,,,,
Gdf11,1.30,0.00,,1.37,0.00,,,,,
Gdi1,1.10,0.04,,1.18,0.00,,,,,
Gdi2,1.23,0.03,,1.59,0.00,,,,,
Gemin4,1.09,0.32,,1.26,0.01,,,,,
Gemin6,-1.06,0.55,,1.01,0.97,,,,,
Gemin7,-1.08,0.24,,-1.12,0.07,,,,,
Get4,-1.01,0.91,,1.00,0.99,,,,,
Gfap,1.17,0.04,,1.04,0.51,,,,,
Gfer,-1.12,0.09,,-1.03,0.64,,,,,
Gga1,1.11,0.03,,1.03,0.46,,,,,
Gga3,1.22,0.01,,1.27,0.00,,,,,
Ggct,1.08,0.28,,-1.02,0.77,,,,,
Ggcx,1.26,0.06,,1.25,0.07,,,,,
Ggnbp2,1.21,0.06,,1.56,0.00,,,,,
Ggt7,1.04,0.46,,1.00,0.89,,,,,
Ghdc,-1.06,0.44,,-1.12,0.17,,,,,
Ghitm,1.15,0.05,,1.24,0.00,,,,,
Gid8,1.13,0.01,,1.07,0.13,,,,,
Gigyf1,1.81,0.00,,1.82,0.00,,,,,
Gins2,-1.09,0.16,,1.08,0.18,,,,,
Gipc1,-1.05,0.22,,-1.13,0.01,,,,,
Git1,1.29,0.00,,1.17,0.03,,,,,
Gja1,1.29,0.01,,1.54,0.00,,,,,
Gja4,1.00,0.83,,-1.02,0.95,,,,,
Gjb1,1.09,0.49,,-1.21,0.11,,,,,
Gjb2,1.94,0.10,,1.24,0.53,,,,,
Gjb6,1.27,0.03,,1.11,0.28,,,,,
Gjc2,1.10,0.40,,-1.25,0.05,,,,,
Gjd2,1.43,0.01,,1.22,0.07,,,,,
Gla,1.11,0.16,,1.22,0.02,,,,,
Gli4,1.11,0.26,,1.13,0.23,,,,,
Glmp,-1.04,0.76,,-1.15,0.21,,,,,
Glo1,1.06,0.26,,1.04,0.45,,,,,
Glod4,-1.01,0.94,,1.04,0.51,,,,,
Glrx,1.08,0.37,,1.31,0.02,,,,,
Glrx3,1.05,0.36,,1.11,0.07,,,,,
Glrx5,-1.13,0.02,,-1.22,0.00,,,,,
Gls,1.18,0.04,,1.55,0.00,,,,,
Gls2,1.04,0.45,,1.08,0.18,,,,,
Glt8d1,1.29,0.01,,1.39,0.00,,,,,
Gltp,1.05,0.27,,-1.15,0.01,,,,,
Gltscr2,1.04,0.47,,-1.09,0.14,,,,,
Glud1,1.10,0.17,,1.22,0.01,,,,,
Glul,1.28,0.01,,1.30,0.01,,,,,
Glyctk,1.09,0.48,,-1.03,0.86,,,,,
Glyr1,1.57,0.00,,1.67,0.00,,,,,
Gm2a,1.01,0.81,,-1.05,0.63,,,,,
Gmfb,1.69,0.00,,1.98,0.00,,,,,
Gmppa,1.06,0.35,,-1.13,0.05,,,,,
Gmpr,-1.04,0.47,,-1.10,0.08,,,,,
Gmpr2,1.48,0.00,,1.40,0.01,,,,,
Gna11,1.50,0.01,,1.53,0.01,,,,,
Gna12,1.26,0.01,,1.07,0.33,,,,,
Gnai2,1.04,0.40,,-1.03,0.59,,,,,
Gnao1,1.58,0.00,,1.64,0.00,,,,,
Gnas,-1.04,0.45,,-1.05,0.34,,,,,
Gnaz,1.22,0.03,,1.36,0.00,,,,,
Gnb1,1.29,0.00,,1.43,0.00,,,,,
Gnb2,1.02,0.60,,-1.12,0.01,,,,,
Gnb5,1.13,0.07,,1.08,0.24,,,,,
Gne,1.21,0.06,,1.12,0.26,,,,,
Gng10,-1.11,0.32,,-1.21,0.13,,,,,
Gng13,-1.46,0.00,,-1.61,0.00,,,,,
Gng2,1.23,0.02,,1.39,0.00,,,,,
Gng3,-1.19,0.00,,-1.27,0.00,,,,,
Gng7,1.40,0.00,,1.42,0.00,,,,,
Gnl1,-1.04,0.36,,-1.09,0.08,,,,,
Gnl2,1.14,0.08,,1.16,0.04,,,,,
Gnl3,1.15,0.12,,1.34,0.00,,,,,
Gnl3l,1.70,0.00,,1.97,0.00,,,,,
Gnpat,1.19,0.03,,1.26,0.01,,,,,
Gnpda1,1.07,0.20,,1.10,0.09,,,,,
Gnptg,1.03,0.52,,-1.02,0.63,,,,,
Golga2,1.28,0.00,,1.25,0.00,,,,,
Golga7,1.12,0.16,,1.27,0.01,,,,,
Golga7b,1.33,0.01,,1.26,0.03,,,,,
Golph3,1.10,0.26,,1.38,0.00,,,,,
Gon7,-1.00,0.97,,-1.06,0.39,,,,,
Gopc,1.23,0.03,,1.51,0.00,,,,,
Gorasp1,-1.04,0.46,,-1.00,1.00,,,,,
Gorasp2,1.09,0.15,,1.20,0.01,,,,,
Gosr2,1.18,0.01,,1.20,0.01,,,,,
Got1,-1.00,0.98,,1.06,0.32,,,,,
Got2,1.06,0.19,,1.06,0.16,,,,,
Gpaa1,1.06,0.28,,-1.01,0.95,,,,,
Gpank1,-1.11,0.07,,-1.17,0.01,,,,,
Gpat4,1.35,0.00,,1.41,0.00,,,,,
Gpatch11,1.43,0.01,,1.59,0.00,,,,,
Gpatch4,1.21,0.04,,1.03,0.68,,,,,
Gpc1,1.28,0.02,,1.09,0.37,,,,,
Gpcpd1,1.37,0.01,,1.61,0.00,,,,,
Gpd1,1.49,0.02,,1.19,0.20,,,,,
Gper1,1.37,0.15,,1.23,0.23,,,,,
Gpi,1.01,0.74,,-1.01,0.90,,,,,
Gpkow,1.21,0.02,,1.31,0.00,,,,,
Gpm6a,1.07,0.52,,1.45,0.01,,,,,
Gpm6b,1.36,0.00,,1.49,0.00,,,,,
Gpn1,1.09,0.20,,1.08,0.24,,,,,
Gpn2,-1.06,0.32,,-1.12,0.06,,,,,
Gpn3,-1.01,0.87,,1.02,0.68,,,,,
Gpr107,1.25,0.01,,1.29,0.00,,,,,
Gpr108,1.11,0.13,,1.08,0.25,,,,,
Gpr12,1.17,0.15,,1.14,0.21,,,,,
Gpr135,1.11,0.32,,1.17,0.13,,,,,
Gpr137,-1.07,0.21,,-1.08,0.13,,,,,
Gpr150,1.18,0.03,,1.17,0.04,,,,,
Gpr155,1.27,0.04,,1.54,0.00,,,,,
Gpr162,1.01,0.74,,1.01,0.74,,,,,
Gpr17,2.42,0.00,,2.23,0.00,,,,,
Gpr173,1.26,0.05,,1.47,0.00,,,,,
Gpr22,1.28,0.07,,1.82,0.00,,,,,
Gpr27,1.21,0.16,,1.09,0.52,,,,,
Gpr3,1.06,0.66,,1.31,0.03,,,,,
Gpr37,1.35,0.01,,1.17,0.13,,,,,
Gpr37l1,1.24,0.00,,1.07,0.24,,,,,
Gpr4,1.00,0.84,,-1.02,0.96,,,,,
Gpr45,1.04,0.73,,1.38,0.00,,,,,
Gpr61,1.08,0.30,,1.35,0.00,,,,,
Gpr75,1.23,0.03,,1.48,0.00,,,,,
Gpr83,1.26,0.01,,1.36,0.00,,,,,
Gpr84,-1.04,0.60,,-1.04,0.68,,,,,
Gpr85,1.08,0.35,,1.61,0.00,,,,,
Gpr88,-1.45,0.29,,1.19,0.73,,,,,
Gprasp1,1.27,0.03,,1.67,0.00,,,,,
Gprc5b,1.35,0.00,,1.30,0.00,,,,,
Gps1,1.04,0.32,,-1.03,0.44,,,,,
Gps2,1.21,0.00,,1.00,0.94,,,,,
Gpsm1,1.07,0.30,,1.07,0.28,,,,,
Gpsm3,-1.05,0.54,,-1.39,0.04,,,,,
Gpt,1.09,0.18,,1.07,0.31,,,,,
Gpt2,1.14,0.10,,1.32,0.00,,,,,
Gpx1,-1.15,0.30,,-1.59,0.00,,,,,
Gpx3,-1.13,0.57,,-1.32,0.17,,,,,
Gpx4,-1.20,0.00,,-1.40,0.00,,,,,
Gpx8,1.09,0.48,,-1.11,0.34,,,,,
Gramd1a,1.20,0.02,,1.11,0.16,,,,,
Grasp,1.28,0.02,,1.19,0.08,,,,,
Grb2,1.04,0.43,,1.08,0.14,,,,,
Grcc10,-1.14,0.00,,-1.25,0.00,,,,,
Grhpr,1.06,0.43,,-1.23,0.01,,,,,
Gria2,1.42,0.01,,1.98,0.00,,,,,
Grik5,1.23,0.01,,1.16,0.05,,,,,
Grin1,1.17,0.05,,1.20,0.02,,,,,
Grin2c,1.45,0.00,,1.26,0.04,,,,,
Grina,-1.01,0.81,,-1.10,0.04,,,,,
Gripap1,1.13,0.07,,1.19,0.01,,,,,
Grk2,1.28,0.00,,1.26,0.00,,,,,
Grk6,1.04,0.49,,1.11,0.06,,,,,
Grm2,-1.11,0.48,,1.23,0.10,,,,,
Grn,-1.10,0.12,,-1.03,0.67,,,,,
Grpel1,-1.11,0.04,,-1.13,0.02,,,,,
Grsf1,1.25,0.01,,1.40,0.00,,,,,
Grwd1,1.15,0.07,,1.19,0.03,,,,,
Gsk3a,1.08,0.06,,1.03,0.46,,,,,
Gskip,1.12,0.19,,1.35,0.00,,,,,
Gsn,1.06,0.51,,-1.11,0.55,,,,,
Gspt2,1.13,0.10,,1.30,0.00,,,,,
Gsta1,-1.02,0.70,,-1.08,0.24,,,,,
Gstk1,-1.08,0.30,,-1.21,0.03,,,,,
Gstm1,-1.02,0.60,,-1.09,0.11,,,,,
Gstm4,1.09,0.18,,-1.09,0.16,,,,,
Gstm5,1.08,0.46,,-1.09,0.36,,,,,
Gstm6,1.06,0.47,,-1.04,0.52,,,,,
Gstm7,1.08,0.24,,-1.03,0.54,,,,,
Gsto1,-1.01,0.81,,-1.15,0.03,,,,,
Gstp1,-1.09,0.19,,-1.26,0.00,,,,,
Gstt2,1.14,0.12,,-1.01,0.94,,,,,
Gstt3,1.08,0.12,,-1.05,0.33,,,,,
Gstz1,1.14,0.01,,1.12,0.02,,,,,
Gtf2f1,1.03,0.57,,-1.03,0.48,,,,,
Gtf2h1,1.11,0.17,,1.21,0.02,,,,,
Gtf2h4,-1.00,0.98,,1.03,0.59,,,,,
Gtf2h5,-1.06,0.49,,-1.17,0.08,,,,,
Gtf2i,1.22,0.01,,1.25,0.01,,,,,
Gtf3a,1.13,0.08,,1.02,0.75,,,,,
Gtf3c1,1.34,0.00,,1.44,0.00,,,,,
Gtf3c2,1.47,0.00,,1.43,0.00,,,,,
Gtf3c4,1.90,0.00,,2.47,0.00,,,,,
Gtf3c6,1.50,0.00,,1.52,0.00,,,,,
Gtpbp1,1.32,0.01,,1.35,0.00,,,,,
Gtpbp2,1.26,0.00,,1.26,0.00,,,,,
Gtpbp3,1.21,0.03,,-1.04,0.62,,,,,
Gucy1b3,1.14,0.17,,1.53,0.00,,,,,
Guk1,-1.07,0.23,,-1.18,0.01,,,,,
Gys1,1.20,0.03,,1.19,0.04,,,,,
Gzf1,1.18,0.08,,1.44,0.00,,,,,
Gzmm,-1.17,0.23,,-1.19,0.20,,,,,
H1f0,1.02,0.71,,1.12,0.02,,,,,
H2afx,-1.13,0.01,,-1.17,0.00,,,,,
H2afy,1.02,0.70,,1.03,0.50,,,,,
H2afz,-1.05,0.66,,1.35,0.02,,,,,
H3f3b,-1.02,0.82,,1.00,0.98,,,,,
Habp4,1.12,0.11,,1.03,0.63,,,,,
Hacd3,1.09,0.18,,1.33,0.00,,,,,
Hadha,1.16,0.02,,1.13,0.04,,,,,
Hadhb,1.21,0.02,,1.41,0.00,,,,,
Hagh,-1.08,0.16,,-1.05,0.39,,,,,
Hap1,-1.05,0.68,,1.03,0.73,,,,,
Hapln2,1.50,0.01,,-1.14,0.33,,,,,
Hapln4,1.26,0.04,,1.07,0.52,,,,,
Hars,1.11,0.06,,1.08,0.14,,,,,
Hars2,1.18,0.09,,1.29,0.01,,,,,
Hax1,-1.06,0.25,,-1.09,0.13,,,,,
Hba1,-1.17,0.37,,-1.35,0.11,,,,,
Hba-a1,1.01,0.99,,-1.47,0.06,,,,,
Hbb,-1.08,0.62,,-1.06,0.51,,,,,
Hbb-b1,-1.11,0.50,,-1.14,0.29,,,,,
Hccs,1.02,0.83,,1.12,0.17,,,,,
Hcfc1,1.37,0.00,,1.64,0.00,,,,,
Hcfc1r1,-1.28,0.00,,-1.52,0.00,,,,,
Hcn2,1.52,0.00,,1.28,0.02,,,,,
Hcrt,1.01,0.67,,-1.37,0.34,,,,,
Hdac10,1.25,0.03,,1.20,0.05,,,,,
Hdac11,-1.11,0.19,,-1.06,0.47,,,,,
Hdac1l,1.21,0.01,,1.21,0.01,,,,,
Hdac2,1.05,0.48,,1.15,0.05,,,,,
Hdac3,-1.01,0.86,,1.02,0.72,,,,,
Hdac5,1.19,0.01,,1.18,0.02,,,,,
Hddc3,-1.14,0.07,,-1.14,0.07,,,,,
Hdgf,1.15,0.01,,1.09,0.07,,,,,
Hdgfrp2,1.03,0.58,,-1.03,0.61,,,,,
Hdhd3,1.08,0.27,,-1.13,0.09,,,,,
Hdlbp,1.52,0.00,,1.58,0.00,,,,,
Heca,1.27,0.03,,1.77,0.00,,,,,
Herc3,1.34,0.00,,1.54,0.00,,,,,
Herpud1,1.08,0.27,,1.08,0.29,,,,,
Hes1,-1.03,0.70,,-1.15,0.07,,,,,
Hes5,-2.13,0.00,,-1.04,0.84,,,,,
Hes6,-1.15,0.09,,-1.23,0.01,,,,,
Hexa,1.06,0.41,,1.03,0.67,,,,,
Hexb,-1.03,0.68,,1.13,0.12,,,,,
Hexim1,-1.05,0.38,,1.09,0.11,,,,,
Hexim2,-1.08,0.18,,-1.21,0.00,,,,,
Hey1,1.12,0.10,,1.14,0.05,,,,,
Heyl,1.11,0.34,,1.13,0.29,,,,,
Hgh1,1.04,0.48,,1.00,0.91,,,,,
Hgs,1.06,0.31,,1.03,0.58,,,,,
Hid1,1.09,0.20,,1.11,0.12,,,,,
Higd1a,-1.06,0.29,,-1.05,0.39,,,,,
Higd1b,-1.04,0.61,,-1.26,0.02,,,,,
Higd2a,-1.17,0.03,,-1.16,0.03,,,,,
Hint1,-1.19,0.00,,-1.25,0.00,,,,,
Hint2,-1.17,0.04,,-1.37,0.00,,,,,
Hip1r,1.27,0.00,,1.20,0.02,,,,,
Hipk1,1.41,0.00,,1.70,0.00,,,,,
Hipk4,1.23,0.02,,1.09,0.33,,,,,
Hirip3,1.06,0.21,,1.06,0.18,,,,,
Hist1h2bh,1.10,0.22,,-1.05,0.74,,,,,
Hist1h4b,-1.05,0.85,,-1.17,0.37,,,,,
Hist2h2aa3,-1.03,0.60,,-1.59,0.00,,,,,
Hist3h2a,-1.15,0.02,,-1.03,0.55,,,,,
Hist3h2ba,-1.20,0.01,,-1.28,0.00,,,,,
Hk1,1.10,0.10,,1.13,0.05,,,,,
Hmbs,1.00,0.93,,-1.09,0.12,,,,,
Hmces,-1.13,0.04,,-1.04,0.50,,,,,
Hmg1l1,1.19,0.04,,1.13,0.13,,,,,
Hmg20a,1.27,0.00,,1.31,0.00,,,,,
Hmg20b,1.04,0.57,,-1.25,0.00,,,,,
Hmga1,1.06,0.85,,-1.10,0.43,,,,,
Hmgb1,1.04,0.59,,1.31,0.01,,,,,
Hmgb2l1,-1.22,0.06,,-1.08,0.47,,,,,
Hmgb3,-1.00,0.99,,1.14,0.09,,,,,
Hmgcr,1.12,0.12,,1.44,0.00,,,,,
Hmgcs1,1.17,0.04,,1.30,0.00,,,,,
Hmgn2,-1.03,0.79,,1.07,0.44,,,,,
