Gene ID,Fold change (Ketamine vs. Vehicle),P-value (Ketamine vs. Vehicle),Fold change (L655 vs. Vehicle),P-value (L655 vs. Vehicle)
Gtf2f1,1.03,0.57,-1.03,0.48
Gtf2h1,1.11,0.17,1.21,0.02
Gtf2h4,-1.0,0.98,1.03,0.59
Gtf2h5,-1.06,0.49,-1.17,0.08
Gtf2i,1.22,0.01,1.25,0.01
Gtf3a,1.13,0.08,1.02,0.75
Gtf3c1,1.34,0.0,1.44,0.0
Gtf3c2,1.47,0.0,1.43,0.0
Gtf3c4,1.9,0.0,2.47,0.0
Gtf3c6,1.5,0.0,1.52,0.0
Gtpbp1,1.32,0.01,1.35,0.0
Gtpbp2,1.26,0.0,1.26,0.0
Gtpbp3,1.21,0.03,-1.04,0.62
Gucy1b3,1.14,0.17,1.53,0.0
Guk1,-1.07,0.23,-1.18,0.01
Gys1,1.2,0.03,1.19,0.04
Gzf1,1.18,0.08,1.44,0.0
Gzmm,-1.17,0.23,-1.19,0.2
H1f0,1.02,0.71,1.12,0.02
H2afx,-1.13,0.01,-1.17,0.0
H2afy,1.02,0.7,1.03,0.5
H2afz,-1.05,0.66,1.35,0.02
H3f3b,-1.02,0.82,1.0,0.98
Habp4,1.12,0.11,1.03,0.63
Hacd3,1.09,0.18,1.33,0.0
Hadha,1.16,0.02,1.13,0.04
Hadhb,1.21,0.02,1.41,0.0
Hagh,-1.08,0.16,-1.05,0.39
Hap1,-1.05,0.68,1.03,0.73
Hapln2,1.5,0.01,-1.14,0.33
Hapln4,1.26,0.04,1.07,0.52
Hars,1.11,0.06,1.08,0.14
Hars2,1.18,0.09,1.29,0.01
Hax1,-1.06,0.25,-1.09,0.13
Hba1,-1.17,0.37,-1.35,0.11
Hba-a1,1.01,0.99,-1.47,0.06
Hbb,-1.08,0.62,-1.06,0.51
Hbb-b1,-1.11,0.5,-1.14,0.29
Hccs,1.02,0.83,1.12,0.17
Hcfc1,1.37,0.0,1.64,0.0
Hcfc1r1,-1.28,0.0,-1.52,0.0
Hcn2,1.52,0.0,1.28,0.02
Hcrt,1.01,0.67,-1.37,0.34
Hdac10,1.25,0.03,1.2,0.05
Hdac11,-1.11,0.19,-1.06,0.47
Hdac1l,1.21,0.01,1.21,0.01
Hdac2,1.05,0.48,1.15,0.05
Hdac3,-1.01,0.86,1.02,0.72
Hdac5,1.19,0.01,1.18,0.02
Hddc3,-1.14,0.07,-1.14,0.07
Hdgf,1.15,0.01,1.09,0.07
Hdgfrp2,1.03,0.58,-1.03,0.61
Hdhd3,1.08,0.27,-1.13,0.09
Hdlbp,1.52,0.0,1.58,0.0
Heca,1.27,0.03,1.77,0.0
Herc3,1.34,0.0,1.54,0.0
Herpud1,1.08,0.27,1.08,0.29
Hes1,-1.03,0.7,-1.15,0.07
Hes5,-2.13,0.0,-1.04,0.84
Hes6,-1.15,0.09,-1.23,0.01
Hexa,1.06,0.41,1.03,0.67
Hexb,-1.03,0.68,1.13,0.12
Hexim1,-1.05,0.38,1.09,0.11
Hexim2,-1.08,0.18,-1.21,0.0
Hey1,1.12,0.1,1.14,0.05
Heyl,1.11,0.34,1.13,0.29
Hgh1,1.04,0.48,1.0,0.91
Hgs,1.06,0.31,1.03,0.58
Hid1,1.09,0.2,1.11,0.12
Higd1a,-1.06,0.29,-1.05,0.39
Higd1b,-1.04,0.61,-1.26,0.02
Higd2a,-1.17,0.03,-1.16,0.03
Hint1,-1.19,0.0,-1.25,0.0
Hint2,-1.17,0.04,-1.37,0.0
Hip1r,1.27,0.0,1.2,0.02
Hipk1,1.41,0.0,1.7,0.0
Hipk4,1.23,0.02,1.09,0.33
Hirip3,1.06,0.21,1.06,0.18
Hist1h2bh,1.1,0.22,-1.05,0.74
Hist1h4b,-1.05,0.85,-1.17,0.37
Hist2h2aa3,-1.03,0.6,-1.59,0.0
Hist3h2a,-1.15,0.02,-1.03,0.55
Hist3h2ba,-1.2,0.01,-1.28,0.0
Hk1,1.1,0.1,1.13,0.05
Hmbs,1.0,0.93,-1.09,0.12
Hmces,-1.13,0.04,-1.04,0.5
Hmg1l1,1.19,0.04,1.13,0.13
Hmg20a,1.27,0.0,1.31,0.0
Hmg20b,1.04,0.57,-1.25,0.0
Hmga1,1.06,0.85,-1.1,0.43
Hmgb1,1.04,0.59,1.31,0.01
Hmgb2l1,-1.22,0.06,-1.08,0.47
Hmgb3,-1.0,0.99,1.14,0.09
Hmgcr,1.12,0.12,1.44,0.0
Hmgcs1,1.17,0.04,1.3,0.0
Hmgn2,-1.03,0.79,1.07,0.44
Hmgn5b,1.08,0.27,1.13,0.11
Hmox2,1.09,0.2,1.03,0.61
Hn1,-1.04,0.46,-1.04,0.43
Hnrnpa1,1.27,0.01,1.48,0.0
Hnrnpa2b1,1.27,0.02,1.56,0.0
Hnrnpa3,1.21,0.08,1.66,0.0
Hnrnpc,-1.01,0.94,1.1,0.13
Hnrnpd,1.14,0.07,1.28,0.0
Hnrnpdl,1.56,0.0,1.37,0.0
Hnrnpf,1.12,0.08,1.14,0.05
Hnrnph1,1.17,0.06,1.41,0.0
Hnrnph2,1.21,0.02,1.31,0.0
Hnrnpk,-1.06,0.48,1.17,0.07
Hnrnpl,1.05,0.27,1.05,0.28
Hnrnpm,1.04,0.45,1.13,0.04
Hnrnpr,1.21,0.02,1.4,0.0
Hnrnpu,1.3,0.01,1.55,0.0
Hnrnpul1,1.19,0.01,1.26,0.0
Hnrnpul2,1.43,0.0,1.56,0.0
Homer3,1.57,0.01,1.09,0.51
Hopx,-1.1,0.4,-1.12,0.3
Hp1bp3,1.09,0.11,1.17,0.01
Hpca,1.12,0.36,-1.07,0.49
Hpcal4,1.56,0.01,1.7,0.0
Hpdl,1.12,0.27,-1.1,0.29
Hpf1,-1.06,0.44,1.04,0.59
Hps4,1.52,0.0,1.29,0.01
Hps6,1.04,0.48,-1.06,0.3
Hras,-1.08,0.14,-1.18,0.01
Hrh1,1.55,0.01,1.68,0.0
Hrh2,2.17,0.01,2.32,0.0
Hrh3,-1.01,0.93,1.04,0.55
Hrk,1.1,0.39,1.48,0.0
Hs3st1,1.26,0.0,1.07,0.17
Hs6st1,1.14,0.05,1.15,0.04
Hsbp1,-1.06,0.33,-1.01,0.86
Hsd11b1,-1.01,0.98,1.08,0.26
Hsd17b10,-1.19,0.01,-1.17,0.01
Hsd17b8,-1.07,0.29,-1.23,0.0
Hsd3b7,1.01,0.89,1.05,0.5
Hsdl1,1.33,0.01,1.41,0.0
Hsf1,1.25,0.01,1.14,0.07
Hsp90aa1,1.16,0.1,1.43,0.0
Hsp90ab1,1.08,0.16,1.2,0.01
Hsp90b1,1.15,0.08,1.33,0.0
Hspa12a,1.29,0.01,1.58,0.0
Hspa13,1.61,0.0,1.97,0.0
Hspa2,1.02,0.71,1.15,0.02
Hspa4,1.25,0.04,1.6,0.0
Hspa4l,1.36,0.01,1.85,0.0
Hspa5,1.02,0.69,1.2,0.03
Hspa8,1.06,0.41,1.15,0.04
Hspa9,1.25,0.03,1.42,0.0
Hspb1,-1.16,0.42,-1.3,0.16
Hspb6,1.01,0.82,-1.21,0.01
Hspb8,1.02,0.76,-1.02,0.98
Hspbp1,-1.13,0.02,-1.25,0.0
Hspd1,1.07,0.27,1.28,0.0
Hspe1,-1.05,0.6,-1.04,0.53
Hsph1,1.16,0.09,1.36,0.0
Htatsf1,1.24,0.01,1.31,0.0
Htr1a,1.6,0.0,1.7,0.0
Htr1b,1.38,0.01,1.87,0.0
Htra1,1.15,0.03,1.03,0.57
Htra2,-1.04,0.34,-1.13,0.02
Hus1,1.35,0.0,1.52,0.0
Hyal1,2.33,0.01,2.47,0.01
Hyal2,1.12,0.1,-1.01,0.97
Hyal3,1.25,0.01,1.21,0.02
Hyou1,1.11,0.11,1.25,0.0
Hypk,-1.26,0.0,-1.47,0.0
Iah1,-1.11,0.04,-1.3,0.0
Iars,1.17,0.11,1.44,0.0
Icam5,1.1,0.19,1.09,0.21
Icmt,1.74,0.0,1.83,0.0
Id1,1.2,0.03,-1.18,0.05
Id2,1.11,0.16,1.08,0.34
Id3,-1.15,0.1,-1.19,0.05
Id4,1.11,0.29,1.35,0.01
Idh1,1.17,0.11,1.2,0.06
Idh2,-1.0,0.95,-1.11,0.34
Idh3a,1.14,0.05,1.24,0.0
Idh3B,-1.01,0.87,1.05,0.25
Idh3g,1.01,0.75,-1.0,0.99
Idi1,-1.02,0.86,1.33,0.03
Idua,1.6,0.0,1.42,0.01
Ier2,1.08,0.4,-1.04,0.62
Ier3,-1.03,0.63,-1.25,0.52
Ier5,1.03,0.68,-1.01,0.93
Ier5l,-1.44,0.0,-1.12,0.07
Iffo1,1.3,0.01,1.16,0.07
Ifi27,-1.2,0.03,-1.25,0.01
Ifi30,-1.01,0.8,-1.26,0.04
Ifitm2,1.08,1.0,-1.38,0.32
Ifitm3,1.35,0.28,1.03,0.9
Ifnar1,1.29,0.0,1.4,0.0
Ifngr1,1.07,0.19,1.08,0.17
Ifngr2,1.02,0.58,-1.04,0.33
Ifrd1,1.38,0.01,1.41,0.0
Ifrd2,1.04,0.58,-1.02,0.84
Ift20,-1.02,0.58,-1.1,0.05
Ift22,-1.04,0.49,-1.01,0.82
Ift46,1.04,0.53,-1.04,0.56
Ift52,1.05,0.41,1.08,0.17
Igbp1b,-1.0,0.69,1.06,0.75
Igf2,1.42,0.81,-1.84,0.39
Igfbp2,1.02,1.0,-2.54,0.21
Igfbp3,1.02,0.84,1.08,0.44
Igfbp4,-1.12,0.46,1.02,1.0
Igfbp5,2.1,0.0,2.49,0.0
Igfbp7,-1.01,0.81,-1.24,0.01
Ighmbp2,1.23,0.03,1.27,0.02
Igsf1,-1.06,0.92,-1.02,0.9
Igsf8,-1.03,0.74,-1.03,0.67
Ik,1.17,0.02,1.15,0.04
Ikbkap,1.54,0.0,1.9,0.0
Il11ra1,1.03,0.8,-1.19,0.06
Il18bp,-1.02,0.87,-1.25,0.15
Il33,1.31,0.02,1.48,0.0
Il34,1.0,0.96,-1.03,0.67
Il6st,1.32,0.0,1.5,0.0
Ilf2,1.04,0.45,1.01,0.79
Ilf3,1.25,0.0,1.3,0.0
Ilk,1.12,0.01,1.07,0.09
Ilvbl,-1.0,0.98,-1.09,0.19
Immt,1.27,0.01,1.3,0.01
Imp3,-1.12,0.01,-1.17,0.0
Imp4,1.07,0.14,1.06,0.23
Impa1,1.19,0.03,1.37,0.0
Impact,1.12,0.24,1.43,0.0
Impad1,1.17,0.09,1.42,0.0
Impdh1,-1.04,0.54,-1.01,0.83
Impdh2,1.01,0.9,1.03,0.62
Ina,1.1,0.14,1.26,0.0
Inafm1,-1.21,0.03,-1.48,0.0
Ing1,1.02,0.78,1.15,0.05
Ing2,-1.05,0.45,1.05,0.44
Ing4,-1.02,0.6,-1.01,0.9
Inha,-1.04,0.54,1.1,0.23
Inhbb,1.09,0.28,1.28,0.01
Inip,1.09,0.36,1.32,0.01
Ino80c,1.18,0.01,1.15,0.03
Ino80e,-1.2,0.13,-1.25,0.07
Inpp1,1.12,0.09,1.07,0.28
Inpp4a,1.28,0.0,1.53,0.0
Inpp5e,1.17,0.07,1.21,0.03
Inpp5j,1.3,0.02,1.23,0.05
Inpp5k,1.28,0.01,1.22,0.02
Inppl1,1.36,0.0,1.29,0.01
Insig1,1.21,0.01,1.19,0.02
Ints10,1.44,0.0,1.48,0.0
Ints11,1.07,0.29,1.12,0.1
Ints14,1.21,0.0,1.22,0.0
Ints5,1.06,0.37,1.16,0.03
Ip6k1,1.67,0.0,1.73,0.0
Ip6k2,1.06,0.32,1.02,0.73
Ipo13,1.26,0.01,1.17,0.04
Ipo4,1.11,0.09,1.1,0.12
Ipo7,1.22,0.12,1.92,0.0
Ipo9,1.42,0.0,1.58,0.0
Iqsec2,1.63,0.0,1.62,0.0
Iqsec3,1.47,0.0,1.37,0.01
Irak1,1.39,0.0,1.39,0.0
Irf1,-1.03,0.64,1.03,0.68
Irf2bp1,-1.02,0.69,-1.1,0.05
Irf2bpl,1.14,0.05,1.18,0.01
Irf3,1.52,0.0,1.17,0.1
Irf7,1.1,0.59,1.09,0.47
Irf9,1.43,0.0,1.38,0.0
Irgq,1.34,0.0,1.5,0.0
Irs2,1.22,0.03,1.41,0.0
Isca1,1.08,0.13,1.04,0.34
Isca2,1.02,0.82,1.0,0.97
Iscu,-1.19,0.0,-1.2,0.0
Isg15,-1.19,0.74,-1.14,0.93
Islr,1.55,0.38,1.0,0.91
Isoc1,1.1,0.16,1.25,0.0
Ist1,1.25,0.0,1.21,0.0
Isyna1,1.08,0.29,-1.01,0.93
Itfg1,1.2,0.06,1.51,0.0
Itgb1,1.4,0.0,1.53,0.0
Itgb1bp1,1.06,0.3,1.03,0.65
Itih3,1.3,0.08,1.24,0.13
Itm2a,1.05,0.59,1.21,0.04
Itm2b,1.04,0.42,1.08,0.12
Itm2c,-1.01,0.84,-1.1,0.08
Itpa,1.05,0.3,-1.01,0.89
Itpka,1.0,0.93,-1.03,0.65
Ivd,1.09,0.16,1.14,0.04
Ivns1abp,1.26,0.02,1.45,0.0
Jagn1,-1.06,0.16,-1.03,0.5
Jak1,1.4,0.01,1.56,0.0
Jakmip1,1.1,0.13,1.16,0.03
Jkamp,1.05,0.7,1.29,0.01
Jmjd6,-1.1,0.17,1.13,0.07
Jmjd8,1.06,0.34,-1.07,0.31
Josd1,1.09,0.12,1.24,0.0
Josd2,-1.13,0.06,-1.39,0.0
Jph3,1.32,0.0,1.23,0.01
Jph4,1.28,0.01,1.25,0.03
Jrk,1.23,0.01,1.1,0.13
Jrkl,1.35,0.01,1.78,0.0
Jtb,1.02,0.73,-1.0,0.98
Jun,-1.09,0.26,1.13,0.07
Junb,-1.23,0.0,-1.01,0.91
Jund,-1.03,0.67,-1.24,0.0
Jup,1.05,0.36,1.04,0.42
Kansl3,1.22,0.01,1.26,0.01
Kars,1.17,0.01,1.11,0.06
Kat2a,1.17,0.02,1.1,0.11
Kat5,1.07,0.17,1.04,0.44
Kat7,1.11,0.08,1.22,0.0
Kat8,1.07,0.18,1.05,0.3
Katnb1,1.11,0.1,1.11,0.1
Kbtbd11,1.81,0.0,1.99,0.0
Kbtbd2,1.22,0.05,1.51,0.0
Kbtbd4,1.3,0.01,1.34,0.01
Kbtbd7,1.08,0.44,1.61,0.0
Kcmf1,1.15,0.02,1.19,0.01
Kcna1,2.72,0.0,2.98,0.0
Kcna2,3.72,0.0,4.97,0.0
Kcna3,2.69,0.0,3.58,0.0
Kcna4,1.04,0.63,1.38,0.0
Kcna6,1.34,0.0,1.35,0.0
Kcnab2,1.8,0.0,1.67,0.01
Kcnab3,1.41,0.0,1.24,0.03
Kcnc1,1.36,0.0,1.38,0.0
Kcnc3,1.52,0.0,1.41,0.0
Kcnc4,1.14,0.17,1.3,0.01
Kcnd1,1.12,0.21,1.16,0.1
Kcne5,-1.01,0.91,1.02,0.84
Kcnf1,1.2,0.17,1.8,0.0
Kcng1,1.38,0.01,1.68,0.0
Kcng4,1.53,0.01,1.22,0.13
Kcnj11,1.21,0.01,1.22,0.01
Kcnj14,1.16,0.11,1.25,0.02
Kcnj16,1.29,0.08,1.31,0.07
Kcnj2,1.7,0.0,2.25,0.0
Kcnj4,-1.02,0.83,1.09,0.3
Kcnj9,1.33,0.01,1.53,0.0
Kcnk1,-1.04,0.56,1.05,0.48
Kcnk4,1.09,0.17,1.12,0.09
Kcnq2,2.46,0.0,2.66,0.0
Kcns2,1.96,0.0,2.16,0.0
Kcnv1,1.04,0.62,1.12,0.17
Kctd10,1.11,0.11,1.19,0.02
Kctd13,-1.02,0.68,-1.02,0.7
Kctd15,1.1,0.18,1.04,0.5
Kctd17,1.07,0.2,-1.16,0.01
Kctd21,1.31,0.02,1.51,0.0
Kctd3,1.17,0.03,1.17,0.03
Kctd4,1.16,0.12,1.32,0.01
Kctd6,1.05,0.45,1.21,0.02
Kdelc2,1.29,0.01,1.31,0.01
Kdelr1,-1.06,0.2,-1.12,0.01
Kdelr2,1.07,0.27,1.08,0.22
Kdm2a,1.31,0.01,1.51,0.0
Kdm6b,1.55,0.01,1.61,0.0
Keap1,1.16,0.01,1.07,0.18
Khdrbs1,1.09,0.24,1.3,0.0
Khdrbs3,1.01,0.91,1.02,0.7
Khsrp,1.47,0.0,1.42,0.01
Kiaa0895l,1.19,0.04,1.22,0.02
Kidins220,1.37,0.0,1.7,0.0
Kif1b,2.42,0.0,3.14,0.0
Kif1bp,1.11,0.09,1.16,0.02
Kif1c,1.48,0.0,1.12,0.2
Kif2a,1.2,0.05,1.49,0.0
Kif3a,1.72,0.0,1.83,0.0
Kif3b,1.38,0.0,1.58,0.0
Kif3c,1.25,0.01,1.34,0.0
Kif5a,2.18,0.0,2.21,0.0
Kif5b,1.88,0.0,2.14,0.0
Kif5c,2.14,0.0,2.24,0.0
Kifap3,1.1,0.26,1.33,0.0
Kifc2,1.21,0.01,1.11,0.1
Kifc3,1.13,0.08,1.08,0.2
Kit,1.58,0.0,1.8,0.0
Klc1,1.07,0.18,1.08,0.15
Klc4,1.07,0.36,-1.03,0.73
Klf10,1.05,0.41,1.42,0.0
Klf15,1.25,0.0,1.16,0.04
Klf16,-1.05,0.37,-1.04,0.44
Klf2,2.0,0.0,1.01,0.85
Klf3,1.38,0.0,1.63,0.0
Klf4,1.47,0.01,1.43,0.01
Klf6,1.1,0.41,1.78,0.0
Klf9,1.69,0.0,1.9,0.0
Klhdc2,1.13,0.18,1.43,0.0
Klhdc3,-1.08,0.06,-1.11,0.01
Klhdc8b,-1.04,0.73,-1.07,0.67
Klhdc9,-1.02,0.82,-1.11,0.1
Klhl11,2.12,0.0,2.97,0.0
Klhl17,1.58,0.0,1.53,0.0
Klhl21,1.03,0.57,1.08,0.23
Klhl22,1.08,0.2,1.14,0.04
Klhl23,1.15,0.06,1.32,0.0
Klhl24,1.54,0.0,2.07,0.0
Klhl26,1.24,0.02,1.11,0.21
Klhl5,1.19,0.04,1.34,0.0
Klhl7,1.1,0.31,1.42,0.0
Klhl9,1.24,0.03,1.77,0.0
Klk6,1.17,0.3,-1.3,0.08
Klk8,1.25,0.11,-1.12,0.37
Kmt2e,1.45,0.0,1.73,0.0
Kmt5c,1.4,0.01,1.16,0.21
Kpna6,1.82,0.0,2.1,0.0
Kpnb1,1.65,0.0,1.88,0.0
Kptn,1.34,0.01,1.38,0.0
Krcc1,1.16,0.11,1.18,0.11
Krr1,1.32,0.01,1.34,0.01
Krt2,1.45,0.01,1.15,0.28
Krtcap2,-1.19,0.05,-1.16,0.11
Kti12,1.01,0.81,1.14,0.01
Kxd1,-1.07,0.13,-1.12,0.02
L1cam,1.16,0.05,1.44,0.0
L3mbtl2,1.24,0.01,1.24,0.01
Lage3,-1.11,0.03,-1.2,0.0
Lamb2,1.44,0.02,1.21,0.15
Lamp1,1.12,0.02,1.07,0.14
Lamp2,1.27,0.04,1.41,0.01
Lamp5,1.18,0.16,1.13,0.24
Lamtor1,-1.12,0.03,-1.17,0.0
Lamtor2,-1.11,0.07,-1.29,0.0
Lamtor3,-1.04,0.59,1.02,0.71
Lamtor4,-1.14,0.02,-1.32,0.0
Lamtor5,-1.06,0.18,-1.11,0.03
Lancl1,1.32,0.0,1.37,0.0
Lancl2,1.3,0.0,1.44,0.0
Lap3,1.21,0.02,1.02,0.65
Laptm4a,1.06,0.57,1.28,0.04
Laptm4b,1.06,0.3,1.0,0.94
Laptm5,1.17,0.02,-1.01,0.91
Larp6,1.09,0.21,1.04,0.5
Larp7,1.1,0.18,1.22,0.02
Las1l,1.14,0.04,1.24,0.0
Lasp1,1.13,0.17,1.19,0.06
Lats2,1.41,0.01,1.5,0.0
Lbh,1.08,0.32,1.17,0.07
Lcat,-1.02,0.91,-1.07,0.79
Lcmt2,1.33,0.02,1.05,0.65
Ldb1,1.04,0.38,-1.02,0.62
Ldha,-1.06,0.13,-1.02,0.55
Ldhb,-1.12,0.01,-1.15,0.0
Lemd2,1.08,0.18,1.04,0.49
Leng1,-1.14,0.08,-1.1,0.21
Leng8,1.97,0.0,1.79,0.0
Leo1,1.24,0.02,1.3,0.01
Leprot,1.01,0.9,1.04,0.6
Leprotl1,1.18,0.04,1.22,0.01
Letm1,1.76,0.0,1.77,0.0
Letmd1,1.13,0.09,1.15,0.05
Lfng,1.36,0.01,1.1,0.26
Lgals1,1.16,0.95,-1.22,0.46
Lgals3bp,-1.1,0.88,-1.39,0.25
Lgals8,1.25,0.01,1.3,0.0
Lgalsl,1.19,0.06,1.54,0.0
Lgi1,1.59,0.0,1.94,0.0
Lgi3,1.22,0.03,1.05,0.53
Lgi4,1.34,0.01,1.21,0.05
Lgmn,1.0,0.95,-1.03,0.69
Lhfpl5,-1.01,0.87,1.07,0.41
Lhx2,1.06,0.28,1.06,0.29
Lias,1.0,0.97,1.1,0.14
Lig4,1.67,0.0,1.89,0.0
Limd2,-1.05,0.36,-1.09,0.1
Lime1,1.53,0.0,1.46,0.0
Limk1,1.19,0.02,1.25,0.01
Lin37,-1.01,0.87,-1.14,0.04
Lin7b,-1.24,0.01,-1.36,0.0
Lin7c,1.62,0.0,1.82,0.0
Lingo1,1.07,0.29,1.14,0.06
Lingo3,1.54,0.01,1.46,0.02
Lipa,1.17,0.08,1.34,0.0
Lipt2,1.13,0.17,-1.08,0.36
Litaf,1.22,0.02,1.06,0.4
Lix1,1.2,0.02,1.17,0.04
Lix1l,1.19,0.05,1.36,0.0
Llgl1,1.29,0.01,1.26,0.01
Llph,-1.04,0.41,-1.04,0.43
Lman2,1.02,0.66,-1.03,0.61
Lmf2,1.13,0.07,1.01,0.79
Lmna,1.04,0.54,-1.02,0.68
Lmo4,-1.04,0.58,1.11,0.09
Lmtk2,1.27,0.02,1.57,0.0
Lnc134,1.15,0.02,1.13,0.03
LOC100125362,1.25,0.02,1.54,0.0
LOC100125364,1.1,0.23,1.29,0.0
LOC100125367,1.08,0.44,1.02,0.86
LOC100134871,-1.13,0.48,-1.17,0.28
LOC100151767,1.23,0.01,1.44,0.0
LOC100360552,1.34,0.02,1.31,0.03
LOC100360846,-1.19,0.0,-1.22,0.0
LOC100363521,-1.03,0.67,1.17,0.09
LOC100365289,1.17,0.02,1.3,0.0
LOC100365921,1.1,0.11,-1.14,0.03
LOC100910237,-1.05,0.57,-1.28,0.04
LOC100910827,1.32,0.02,1.86,0.0
LOC100910973,1.12,0.35,-1.01,0.97
LOC100911177,-1.27,0.01,-1.41,0.0
LOC100911483,-1.27,0.0,-1.45,0.0
LOC100911576,1.07,0.32,1.23,0.01
LOC100911664,1.29,0.01,1.62,0.0
LOC100912041,1.14,0.17,1.25,0.02
LOC102547290,-1.04,0.54,-1.03,0.67
LOC102548847,-1.09,0.22,1.03,0.69
LOC102549726,-1.14,0.04,-1.11,0.09
LOC106631776,-1.22,0.0,-1.23,0.0
LOC108348108,-1.1,0.77,1.37,0.03
LOC288913,-1.09,0.13,-1.21,0.0
LOC294154,1.29,0.0,1.26,0.0
LOC297756,-1.11,0.21,-1.36,0.0
LOC301124,-1.22,0.0,-1.31,0.0
LOC306766,1.08,0.09,1.12,0.02
LOC317456,2.15,0.0,2.81,0.0
LOC361985,1.05,0.3,1.04,0.46
LOC361990,1.03,0.6,1.22,0.0
LOC365985,1.16,0.03,1.3,0.0
LOC498122,1.01,0.87,1.09,0.11
LOC499331,-1.03,0.82,1.22,0.09
LOC499770,1.01,0.79,-1.14,0.02
LOC500028,1.94,0.0,2.1,0.0
LOC500077,1.13,0.08,1.1,0.15
LOC500227,-1.04,0.45,-1.13,0.06
LOC500684,1.35,0.01,1.63,0.0
LOC500956,1.05,0.41,-1.03,0.57
LOC500959,-1.05,0.24,-1.19,0.0
LOC619574,1.05,0.42,1.19,0.02
LOC680039,1.41,0.0,1.65,0.0
LOC688613,-1.01,0.86,-1.1,0.17
LOC688765,1.23,0.22,1.52,0.02
LOC688869,-1.29,0.0,-1.49,0.0
LOC689064,-1.22,0.27,-1.27,0.15
LOC689574,-1.0,0.97,-1.12,0.06
LOC689986,1.39,0.01,1.65,0.0
LOC690617,1.11,0.54,1.08,0.52
LOC690871,-1.31,0.0,-1.46,0.0
LOC690918,1.32,0.17,1.23,0.2
LOC691153,-1.03,0.96,-1.13,0.33
LOC691807,-1.06,0.46,-1.07,0.44
LOC691995,-1.22,0.2,-1.11,0.56
Lonp1,1.21,0.01,1.21,0.01
Lpar6,-1.01,0.8,1.28,0.16
Lpcat4,-1.04,0.34,-1.0,0.94
Lpin2,1.3,0.01,1.54,0.0
Lpl,1.28,0.03,1.46,0.0
Lppos,-1.2,0.07,-1.16,0.14
Lrch4,1.46,0.0,1.21,0.05
Lrfn1,1.17,0.05,1.18,0.05
Lrfn3,1.01,0.88,-1.07,0.25
Lrfn4,1.05,0.4,-1.01,0.83
Lrp1,1.21,0.02,1.52,0.0
Lrp10,1.06,0.44,-1.13,0.27
Lrp11,1.23,0.0,1.26,0.0
Lrp3,1.13,0.06,1.05,0.41
Lrp4,1.56,0.0,1.8,0.0
Lrpap1,1.13,0.06,1.2,0.01
Lrrc10b,1.46,0.02,1.05,0.74
Lrrc14,1.04,0.6,-1.0,1.0
Lrrc23,1.1,0.34,-1.07,0.71
Lrrc24,-1.11,0.02,-1.06,0.2
Lrrc4,1.25,0.0,1.35,0.0
Lrrc40,1.08,0.26,1.21,0.02
Lrrc41,1.12,0.06,1.15,0.03
Lrrc42,1.05,0.42,1.08,0.25
Lrrc45,1.24,0.0,1.08,0.23
Lrrc47,-1.01,0.74,-1.03,0.44
Lrrc4b,1.09,0.11,1.09,0.11
Lrrc57,1.15,0.05,1.26,0.0
Lrrc59,1.06,0.31,1.17,0.01
Lrrc71,-1.2,0.0,-1.21,0.0
Lrrc73,-1.05,0.28,-1.21,0.0
Lrrc8a,1.5,0.01,1.48,0.01
Lrrc8b,2.2,0.0,2.47,0.0
Lrrc8d,1.27,0.03,1.3,0.01
Lrrn1,1.18,0.06,1.4,0.0
Lrrn2,1.15,0.05,1.07,0.3
Lrrn3,1.23,0.04,1.53,0.0
LRRTM1,1.12,0.17,1.16,0.08
Lrrtm2,1.34,0.02,1.92,0.0
Lrsam1,1.04,0.64,1.03,0.65
Lrtm2,1.09,0.2,1.23,0.01
Lsm1,-1.09,0.13,-1.08,0.18
Lsm10,-1.12,0.15,-1.02,0.86
Lsm12,1.05,0.36,1.07,0.22
Lsm2,-1.03,0.55,-1.3,0.0
Lsm3,-1.06,0.33,-1.09,0.18
Lsm4,-1.21,0.01,-1.4,0.0
Lsm7,-1.19,0.03,-1.34,0.0
Lsm8,1.06,0.49,-1.08,0.48
Ltbp3,1.21,0.06,1.11,0.23
Ltbp4,1.22,0.02,1.26,0.01
Ltbr,1.06,0.58,-1.17,0.13
Ltk,1.12,0.29,1.11,0.24
Ltv1,1.07,0.28,1.14,0.04
Luc7l3,1.51,0.0,1.63,0.0
Lum,1.9,0.0,1.84,0.0
Luzp1,1.55,0.0,1.74,0.0
Lxn,1.05,0.45,1.02,0.86
Ly6e,-1.0,0.91,-1.11,0.06
Ly6h,-1.14,0.01,-1.2,0.0
Lynx1,1.45,0.0,1.43,0.01
Lypd1,-1.01,0.99,-1.01,0.87
Lypla2,-1.13,0.01,-1.21,0.0
Lyrm2,1.06,0.26,1.05,0.37
Lyrm7,1.07,0.31,1.14,0.1
Lysmd2,-1.07,0.35,1.04,0.6
Lyz2,-1.12,0.21,-1.05,0.59
Lyzl4,-1.08,0.65,-1.33,0.07
Lzic,1.1,0.16,1.13,0.09
Lztr1,1.17,0.02,1.19,0.01
Lzts1,-1.04,0.67,1.35,0.03
Lzts2,1.04,0.53,1.03,0.67
Lzts3,1.6,0.0,1.59,0.0
M6pr,1.1,0.05,1.15,0.01
Mad2l1bp,-1.06,0.35,-1.04,0.54
